,body,class
10,"จากกรณีระบุว่า กกต.แอบเอาพรรคเพื่อไทย 29 และพรรคก้าวไกล 31 ออกจากคู่มือ หมายเลข 27 แล้วไป 32 เลยนั้น ทางสำนักงานคณะกรรมการการเลือกตั้ง ได้ชี้แจงว่า ได้มีการทำและตรวจสอบจากเอกสารต้นฉบับแล้วปรากฏว่า มีครบทุกหน้า อีกทั้งในกระบวนการสั่งพิมพ์ก่อนจัดส่ง ทางสำนักงานคณะกรรมการการเลือกตั้งได้มีการตรวจรับอย่างรอบคอบครบถ้วน ขอยืนยันว่าข่าวดังกล่าวไม่ใช่ข้อเท็จจริงที่ผิดพลาดจากสำนักงานคณะกรรมการการเลือกตั้ง ซึ่งทางสำนักงานคณะกรรมการการเลือกตั้งกำลังสืบสวนข้อเท็จจริง หากพบว่า เป็นการกลั่นแกล้งจะดำเนินการไต่สวนเพื่อดำเนินคดีต่อไป ทั้งนี้ สำนักงานคณะกรรมการการเลือกตั้งได้ปฏิบัติหน้าที่ตามกรอบของกฎหมายและยึดหลักสุจริตโดยแท้ต่อไป

",0
11,"ตามที่มีการเผยแพร่ข้อมูลเกี่ยวกับประเด็นเรื่องประกาศ บขส. หยุดวิ่งรถทุกเส้นทางทั่วประเทศ เริ่มพรุ่งนี้ ทางศูนย์ต่อต้านข่าวปลอมได้ดำเนินการตรวจสอบข้อเท็จจริงโดยบริษัท ขนส่ง จำกัด กระทรวงคมนาคม พบว่าประเด็นดังกล่าวนั้น เป็นข้อมูลเท็จ

กรณีที่มีผู้โพสต์ข้อมูลว่าประกาศ บขส. หยุดวิ่งรถทุกเส้นทางทั่วประเทศ เริ่มพรุ่งนี้ ทางบริษัท ขนส่ง จำกัด ได้ตรวจสอบและชี้แจงข้อเท็จจริงว่า ข้อมูลดังกล่าวเป็นข้อมูลปลอม บขส. เปิดให้บริการเดินรถสายเหนือ สายอีสาน และสายใต้ ทุกเส้นทางตามปกติ โดยทุกเที่ยววิ่งมีการคุมเข้มความปลอดภัย และปฏิบัติตามมาตรการป้องกันโควิด 19 ของสาธารณสุขอย่างเคร่งครัด",0
12,"จากกรณีการโพสต์ข้อความว่า “ด่วนมาก รัฐบาลอาจประกาศใช้เคอร์ฟิว ห้ามออกนอกบ้าน 24 ชม. ภายในสัปดาห์หน้า การผลิตที่ไม่เกี่ยวข้องกับ COVID-19 ต้องหยุด” จากข้อความดังกล่าวกรมประชาสัมพันธ์ สำนักนายกรัฐมนตรี ได้ชี้แจงว่าไม่เป็นความจริง เนื่องจากขณะนี้ยังไม่มีคำสั่งจากรัฐบาลเกี่ยวกับมาตการห้ามออกจากบ้าน 24 ชม. ตามที่เป็นข่าว

และกรณีที่กล่าวว่า “การผลิตที่ไม่เกี่ยวข้องกับ COVID-19 ต้องหยุด” นั้นไม่เป็นความจริง รัฐฯ ไม่เคยออกคำสั่งให้หยุดการผลิตสินค้าใด มีแต่การขอความร่วมมือไปยังหน่วยงานภาครัฐและเอกชน ว่าถ้างานไหนสามารถทำที่บ้านได้ ก็ขอความร่วมให้ทำงานที่บ้าน เพื่อเป็นการลดความเสี่ยงในการรับและแพร่เชื้อ

และสำหรับประเด็นที่บอกว่า “ตัวเลขผู้ป่วยยังสูงต่อเนื่อง หมอก็บอกว่าเอาไม่อยู่ถ้าปล่อยให้ใช้มาตรการสมัครใจอย่างที่เป็นอยู่ทุกวันนี้” ข้อความนี้มีส่วนจริง เพราะ ทางรัฐบาลไม่ได้มีมาตรการบังคับใดๆ แต่เป็นการขอความร่วมมือจากทุกภาคส่วน เพื่อช่วยกันให้พ้นวิกฤต COVID-19 นี้ และขอย้ำว่าประชาชนไม่จำเป็นต้องกักตุนอาหารใดๆ ให้ซื้อสินค้าเหมือนปกติ",0
13,"จากกรณีที่ผู้ใช้เฟซบุ๊กรายหนึ่งโพสต์ภาพ แจ้งผลการลงทะเบียนรับเงินเยียวยา 5,000 บาท (3 เดือน) แบบเสร็จสมบูรณ์ทางอีเมลนั้น ธนาคารกรุงไทยได้ชี้แจงว่า อีเมลจากโพสต์ดังกล่าวไม่เป็นความจริงแต่อย่างใด ขณะนี้ยังไม่มีการส่งอีเมลยืนยันการได้รับสิทธิ์ ซึ่งผู้มีสิทธิ์ได้รับเงินเยียวยา 5,000 บาท เป็นเวลา 3 เดือน (ตั้งแต่เดือนเมษายน – มิถุนายน 2563) นั้น จะต้องผ่านการตรวจสอบ และคัดกรองตามหลักเกณฑ์ที่กำหนดก่อนจึงจะได้รับสิทธิ์ ในกรณีที่ข้อมูลครบถ้วนถูกต้องจะใช้ระยะเวลาตรวจสอบเร็วที่สุด 7 วันทำการ",0
14,จากกรณีข่าว แฉต้นตอไฟป่าเจ้าหน้าที่กรมป่าไม้เป็นจุดเอง หวังเบิกงบประมาณดับไฟ หลังไฟลุกไหม้ ที่จ.นครศรีธรรมราช ที่เป็นการนำข่าวเก่ากลับมาโพสต์ซ้ำอีกครั้ง ทางกรมอุทยานแห่งชาติ สัตว์ป่า และพันธุ์พืช ได้ชี้แจงว่า ไม่เป็นความจริง กรมอุทยานฯ มีภารกิจเพื่อคุ้มครองดูแลทรัพยากรธรรมชาติให้มีความสมบูรณ์ และเกิดความยั่งยืน มีการกำหนดแนวทาง แผนงาน แผนงบประมาณและกิจกรรมตามกฎหมายที่ชัดเจน มีกระบวนการติดตามและตรวจสอบได้จากรัฐ และสังคม การควบคุมไฟป่าในปัจจุบันเป็นรูปแบบความร่วมมือของหลายองค์กรทั้งวางแผน แก้ปัญหา และร่วมตรวจสอบต่างๆ จากข่าวดังกล่าวซึ่งไม่เป็นความจริง ทำให้ภาครัฐ กรมอุทยานแห่งชาติ สัตว์ป่า และพันธุ์พืชเสียหาย,0
15,"จากกรณีคลิปวิดีโอที่เผยแพร่ในสังคมออนไลน์เกี่ยวกับการรับเงิน 5,000 ได้ทุกบ้าน ช่วยทุกคน ถ้าเมืองไทยไม่ดีขึ้น ทางกระทรวงการคลัง ได้ชี้แจงว่า ไม่เป็นความจริง สำหรับข้อเท็จจริงนั้น ปัจจุบัน รัฐบาลมีมาตรการจ่ายเงินเยียวยา 5,000 บาท สำหรับแรงงาน ผู้ประกอบอาชีพอิสระที่ไม่ได้อยู่ในประกันสังคมตามมาตรา 33 และได้รับผลกระทบโดยตรงจากการแพร่ระบาดโควิด-19 ที่ลงทะเบียนในเว็บไซต์ “เราไม่ทิ้งกัน” และผ่านการคัดกรองเท่านั้น ไม่ใช่เป็นการแจกให้ทุกบ้านจำนวน 5,000 บาท เป็นเวลา 6 เดือน ตามที่ถูกเผยแพร่ในสื่อออนไลน์",0
16,จากกรณีที่มีการโพสต์ข้อความว่า “ข้าราชการไทยกระทรวงมหาดไทยส่งชาวมุสลิม ไปแสวงบุญที่ซาอุที่สนามบินฟรีไปกลับ ใครไม่ทำตามติดคุก 5 ปี ปรับเงิน 5 แสนบาทหรือทั้งจำและปรับ เป็นกฎหมายใหม่ผ่านการใช้งานแล้ว” ทางกรมการปกครอง กระทรวงมหาดไทย ได้ชี้แจงถึงประเด็นนี้ว่า ข้อมูลและภาพถ่ายที่ปรากฏดังกล่าวไม่เป็นความจริงตามที่กล่าวอ้างแต่ประการใด ทั้งนี้ ค่าใช้จ่ายในการไปประกอบพิธีฮัจย์นั้นเป็นของประชาชนผู้ไปประกอบพิธีฮัจย์เอง และโทษจำคุกไม่เกิน 5 ปี ปรับไม่เกิน 1 แสนบาท หรือทั้งจำและปรับนั้น เป็นความผิดฐานประกอบกิจการฮัจย์โดยไม่ได้รับอนุญาตจากคณะกรรมการส่งเสริมกิจการฮัจย์แห่งประเทศไทย,0
17,จากการแถลงข่าวเมื่อวันที่ 6 เม.ย.63 โฆษก ศบค. ยืนยัน ขณะนี้รัฐบาลยังไม่มีประกาศเคอร์ฟิว 24 ชั่วโมง เนื่องจากเพิ่งประกาศเคอร์ฟิวเป็นเวลา 6 ชั่วโมงระหว่าง 22.00 น. ถึง 04.00 น. ของวันรุ่งขึ้น ซึ่งประชาชนอยู่ระหว่างการปรับตัวส่วนกรณีที่มีการแชร์ ข้อสั่งการของปลัดกระทรวงมหาดไทยที่สื่อสารไปยังผู้ว่าราชการจังหวัด ก็เพื่อให้มีการบูรณาการทุกภาคส่วนในการปฏิบัติการยับยั้งการแพร่ระบาดของเชื้อไวรัสโควิด-19 ไม่ใช่การเตรียมการเพื่อประกาศเคอร์ฟิว 24 ชม. โดย โฆษก ศบค. เน้นย้ำ สื่อและประชาชน อย่าตีความกันไปเองและขอเตือนอย่าแชร์ข้อมูลเท็จ เพราะมีโทษตาม พ.ร.ก.ฉุกเฉินฯ โดยขอให้ฟังมาตรการต่างๆ จากการแถลงจาก ศบค.เป็นหลัก,0
18,"ตามที่มีข้อมูลเกี่ยวกับประเด็นเรื่องธนบัตรรูปแบบใหม่ เป็นแบงก์ปลอม ใช้ชำระหนี้ตามกฎหมายไม่ได้ ทางศูนย์ต่อต้านข่าวปลอมได้ดำเนินการตรวจสอบข้อเท็จจริงโดยธนาคารแห่งประเทศไทย พบว่าประเด็นดังกล่าวนั้น เป็นข้อมูลเท็จ

จากที่มีการแชร์ข้อมูลว่า ธนบัตรที่ระลึกเนื่องในพระราชพิธีบรมราชาภิเษก พุทธศักราช 2562 ไม่ผ่านธนาคารโลก ถือเป็นแบงก์ปลอม ไม่สามารถนำไปชำระหนี้ตามกฎหมายได้นั้น ทางธนาคารแห่งประเทศไทย ได้ชี้แจงว่า ข้อมูลข้างต้นไม่เป็นความจริง การออกธนบัตรเพื่อใช้หมุนเวียนในระบบเศรษฐกิจของประเทศ เป็นอธิปไตยของประเทศที่สามารถดำเนินการได้ โดยธนาคารแห่งประเทศไทย จะเป็นหน่วยงานที่รับผิดชอบในการออกแบบ และจัดพิมพ์ธนบัตร ออกใช้ธนบัตร รับแลกเปลี่ยนธนบัตรชำรุด

เพื่อให้ประชาชนมีธนบัตรอยู่ในสภาพดี และขอยืนยันว่า ธนบัตรที่ระลึกนี้ สามารถใช้ชำระหนี้ได้ตามกฎหมาย เช่นเดียวกับธนบัตรที่ระลึกทุกแบบที่ผ่านมา และสามารถนำธนบัตรที่ระลึกฯ ไปแลกเปลี่ยนเป็นเงินสกุลอื่นที่ธนาคารหรือ money changer ได้ตามปกติเช่นเดียวกับธนบัตรหมุนเวียนทั่วไป",0
19,จากที่มีข่าวถึงเรื่องการพูดของท่านนายก ว่าควรจะต้องจัดเก็บภาษีการใช้น้ำเพื่อการเกษตร เพราะทุกอาชีพมีการเสียภาษีทั้งนั้น ทางกรมชลประทานได้เปิดเผยถึงเรื่องนี้ว่า ข่าวดังกล่าวไม่เป็นความจริงซึ่งอาจจะเป็นความเข้าใจที่คลาดเคลื่อน ตามหลักการแก้ไขเพิ่มเติมกฎกระทรวงฉบับที่ 42 ปี 2540 ยังคงหลักการเดิมทุกประการ คือ เก็บค่าชลประทานนอกภาคการเกษตร ในอัตราลูกบาศก์เมตรละ 50 สตางค์ แต่เนื่องจากกฎกระทรวงใช้บังคับมานานจึงได้ขอแก้ไขเพิ่มเติมเฉพาะในส่วนวิธีการจัดเก็บ เพื่อให้สอดคล้องกับกฎระเบียบของกระทรวงการคลัง,0
20,"จากการบอกต่อในเรื่องผู้เชี่ยวชาญด้านการลงทุน ร่วมมือกับตลาดหลักทรัพย์ฯ จัดตั้งสมาคมหุ้นของบริษัทเพื่อให้คำปรึกษาด้านตลาดหุ้นฟรี ทางศูนย์ต่อต้านข่าวปลอมได้ดำเนินการตรวจสอบข้อเท็จจริงกับตลาดหลักทรัพย์แห่งประเทศไทย พบว่าประเด็นดังกล่าวนั้น เป็นข้อมูลเท็จ

กรณีที่มีการเชิญชวนลงทุนโดยโพสต์ว่า ผู้เชี่ยวชาญด้านการลงทุน ร่วมมือกับตลาดหลักทรัพย์ฯ จัดตั้งสมาคมหุ้นของบริษัทเพื่อให้คำปรึกษาด้านตลาดหุ้นฟรี ทางตลาดหลักทรัพย์แห่งประเทศไทย ได้ตรวจสอบข้อมูลและชี้แจงว่า เพจเฟซบุ๊กดังกล่าวเป็นเพจปลอมมีการแอบอ้างใช้ชื่อ และ โลโก้ของตลาดหลักทรัพย์แห่งประเทศไทย (SET) หวังให้ประชาชนหลงเชื่อและร่วมลงทุน ซึ่งตลาดหลักทรัพย์ฯ ไม่มีส่วนเกี่ยวข้องใด ๆ กับเพจเฟซบุ๊กดังกล่าวทั้งสิ้น",0
21,"จากการประชาสัมพันธ์ถึงเรื่องสอนวิเคราะห์หุ้นโดยไม่มีค่าธรรมเนียม ไม่ต้องดาวน์โหลดและลงทะเบียน ผ่านเพจการวิเคราะห์หุ้นตลาดหุ้น ทางศูนย์ต่อต้านข่าวปลอมได้ดำเนินการตรวจสอบข้อเท็จจริงกับตลาดหลักทรัพย์แห่งประเทศไทย พบว่าประเด็นดังกล่าวนั้น เป็นข้อมูลเท็จ

กรณีที่มีการชวนเชื่อว่า ตลาดหลักทรัพย์แห่งประเทศจัดสอนวิเคราะห์หุ้นโดยไม่มีค่าธรรมเนียม ไม่ต้องดาวน์โหลดและลงทะเบียนนั้น ทางตลาดหลักทรัพย์แห่งประเทศไทย ได้ตรวจสอบข้อมูลและชี้แจงว่า เพจดังกล่าวมีการแอบอ้างนำภาพโลโก้ของตลาดหลักทรัพย์แห่งประเทศไทย (SET) ไปใช้เป็นภาพโปรไฟล์ โดยไม่ได้รับอนุญาต อาจทำให้ประชาชนเข้าใจผิดเนื่องจากตลาดหลักทรัพย์ฯ ไม่ได้มีส่วนเกี่ยวข้องใด ๆ กับเพจปลอมดังกล่าวทั้งสิ้น",0
22,"ตามที่มีการโพสต์ระบุการบินไทยจัดกิจกรรมเทศกาลวันสงกรานต์ ลุ้นจับฉลากรับตั๋วชั้นธุรกิจ ไปกลับกรุงเทพฯ เชียงใหม่ พัทยาฟรี สิ้นสุด 13 เม.ย. ทางศูนย์ต่อต้านข่าวปลอมได้ตรวจสอบข้อเท็จจริงกับบริษัทการบินไทย จำกัด (มหาชน) พบว่าข้อมูลที่ปรากฏดังกล่าว เป็นข้อมูลเท็จ

จากกรณีการโพสต์ชวนเชื่อถึงการบินไทยจัดกิจกรรมของขวัญสำหรับเทศกาลวันสงกรานต์ ลุ้นจับฉลากรับตั๋วชั้นธุรกิจ ไปกลับกรุงเทพฯ เชียงใหม่ พัทยาฟรี สิ้นสุดวันที่ 13 เม.ย. นั้น ทางบริษัท การบินไทย จำกัด (มหาชน) ได้ตรวจสอบข้อมูลและชี้แจงว่า การบินไทยไม่ได้มีการจัดกิจกรรมแจกของขวัญสำหรับเทศกาลวันสงกรานต์ ให้ลุ้นจับฉลากรับตั๋วชั้นธุรกิจ ไปกลับกรุงเทพฯ เชียงใหม่ พัทยาฟรี สิ้นสุดวันที่ 13 เม.ย. ตามที่เพจดังกล่าวประกาศแต่อย่างใด การกระทำดังกล่าวเป็นการประกาศจากเพจเฟซบุ๊กปลอมที่ใช้ชื่อว่า Rihanna 5490969 โดยเป็นการแอบอ้างใช้ชื่อของบริษัท การบินไทย โดยไม่ได้รับอนุญาต",0
23,"ตามที่มีการเผยแพร่ข่าวสารในสื่อออนไลน์เรื่อง เอกสารแถลงการณ์ของสถานทูตเมียนมาร์ในประเทศไทย ต่อเหตุการณ์ชุมนุมประท้วง ทางศูนย์ต่อต้านข่าวปลอมได้ดำเนินการตรวจสอบข้อเท็จจริงกับกรมสารนิเทศ กระทรวงการต่างประเทศ พบว่าประเด็นดังกล่าวนั้น เป็นข้อมูลเท็จ

กรณีการเผยแพร่เอกสารแถลงการณ์ของสถานทูตเมียนมาร์ในประเทศไทย ต่อเหตุการณ์ชุมนุมในประเทศไทยนั้น ทางกรมสารนิเทศ กระทรวงการต่างประเทศ ได้ตรวจสอบเอกสารดังกล่าวและได้รับการยืนยันจากทั้งสถานเอกอัครราชทูต ณ กรุงย่างกุ้ง และสถานเอกอัครราชทูตเมียนมาประจำประเทศไทยว่าสถานเอกอัครราชทูตเมียนมาไม่ได้ออกเอกสารแถลงการณ์ดังกล่าว และเอกสารดังกล่าวเป็นเอกสารปลอม",0
